X,Y,Name,
-79.3931974,43.6406129,Spadina Avenue & Bremner Boulevard
-79.4779529,43.7086618,Keele Street & Lawrence Avenue West
-79.3921202,43.6385386,Lower Spadina Avenue & Lake Shore Boulevard West
-79.4464482,43.6667251,Lansdowne Avenue & Dupont Street
-79.471573,43.6821195,Rogers Road & Keele Street
-79.4088133,43.6346025,Lake Shore Boulevard West & Strachan Avenue
-79.4524245,43.6563348,Dundas Street West & Bloor Street West
-79.5137055,43.7412267,Jane Street & Clair Road
-79.4711359,43.6718533,St Clair Avenue West & Gunns Road
-79.5187907,43.7619221,Jane Street & Stong Court
-79.5085552,43.7209855,Wilson Avenue & Jane Street
-79.5070857,43.715418,Jane Street & Falstaff Avenue
-79.4366417,43.6405916,Queen Street West & Lansdowne Avenue
-79.4599897,43.654699,Bloor Street West & Keele Street
-79.5006026,43.6901383,Jane Street & Bala Avenue
-79.4345791,43.6333802,Lake Shore Boulevard West & Jameson Avenue
-79.4835366,43.6689799,St Clair Avenue West & Runnymede Road
-79.5162178,43.7001504,Weston Road & Lawrence Avenue West
-79.511362,43.6840136,Eglinton Avenue West & Scarlett Road
-79.5433741,43.7708985,Steeles Avenue West & Signet Drive
-79.5464255,43.7702829,Steeles Avenue West & Weston Road
-79.4681797,43.6352044,Lake Shore Boulevard West & Windermere Avenue
-79.5466387,43.6971016,Dixon Road & Islington Avenue
-79.542829,43.6886927,Islington Avenue & The Westway
-79.5652298,43.7372041,Islington Avenue & Albion Road
-79.4812128,43.6230319,Lake Shore Boulevard West & Park Lawn Road
-79.5746741,43.764303,Steeles Avenue West & Islington Avenue
-79.5666386,43.7118002,Rexdale Boulevard & Kipling Avenue
-79.5585815,43.6943749,Dixon Road & Kipling Avenue
-79.5235499,43.6447098,Bloor Street West & Islington Avenue
-79.502609,43.6263384,The Queensway & Royal York Road
-79.580226,43.7396165,Albion Road & Kipling Avenue
-79.5810729,43.713849,Rexdale Boulevard & Martin Grove Road
-79.5708353,43.6916848,Dixon Road & Martin Grove Road
-79.5148431,43.6236681,The Queensway & Islington Avenue
-79.5630637,43.6744272,Eglinton Avenue West & Martin Grove Road
-79.5114017,43.6184021,Islington Avenue & Evans Avenue
-79.6000665,43.7429275,Albion Road & Silverstone Drive
-79.526877,43.6210063,The Queensway & Kipling Avenue
-79.5598913,43.6462468,Burnhamthorpe Road & The East Mall
-79.5207239,43.6072226,Kipling Avenue & Horner Avenue
-79.5565662,43.6369107,Bloor Street West & The East Mall
-79.5954243,43.6866772,Dixon Road & Carlingview Drive
-79.5623182,43.6356773,Bloor Street West & The West Mall
-79.5463304,43.6165131,The Queensway & The East Mall
-79.5561314,43.6143339,The Queensway & North Queen Street
-79.5381821,43.5934222,Lake Shore Boulevard West & Thirty Seventh Street
-79.562526,43.6123172,The Queensway & The West Mall
-79.6034308,43.7578115,Steeles Avenue West & Martin Grove Road
-79.5217809,43.7753704,Steeles Avenue West & Jane Street
-79.5131399,43.7394641,Sheppard Avenue West & Jane Street
-79.4634395,43.7501644,Allen Road & Sheppard Avenue West
-79.4340977,43.737426,Bathurst Street & Wilson Avenue
-79.4099219,43.7886584,Cummer Avenue & Willowdale Avenue
-79.4078662,43.7834463,Willowdale Avenue & Bishop Avenue
-79.4169873,43.6798112,Bathurst Street & Nina Street
-79.354799,43.7925959,Finch Avenue East & Don Mills Road
-79.4114719,43.6407712,Strachan Avenue & Wellington Street West
-79.3881426,43.6548197,University Avenue & Dundas Street West
-79.3738831,43.6553759,Jarvis Street & Shuter Street
-79.32308,43.7752313,Sheppard Avenue East & Victoria Park Avenue
-79.31601,43.796921,Finch Avenue East & Warden Avenue
-79.2158447,43.7617873,Lawrence Avenue East & Scarborough Golf Club Road
-79.196701,43.795013,Morningside Ave and 401 C W Morningside Ave N Ramp
-79.2188536,43.7432166,Eglinton Avenue East & Markham Road
-79.2598481,43.716927,Saint Clair Avenue East & Danforth Road
-79.2512397,43.8365516,Steeles Avenue East & Markham Road
-79.2391396,43.7674716,Bellamy Road North & Brimorton Drive
-79.2947615,43.745391,Lawrence Avenue East & Warden Avenue
-79.2479358,43.8239764,Markham Road & McNicoll Avenue
-79.2489538,43.7654283,McCowan Road & Brimorton Drive
-79.3006507,43.7612888,Warden Avenue & Ellesmere Road
-79.2632162,43.7752046,Brimley Road & Progress Avenue
-79.2431453,43.8129244,Finch Avenue East & Markham Road
-79.2733671,43.7984197,Brimley Road & Huntingwood Drive
