Name,Latitude,Longitude
Mainway & Appleby Line,43.3872431,-79.7811558
Brant Street & North Service Road,43.3441977,-79.8255653
Mountainside Drive & Davidson Court,43.3557622,-79.8093074
South Service Road & Guelph Line,43.3511648,-79.802539
Guelph Line & Upper Middle Road,43.3647219,-79.8220652
