Name,Latitude,Longitude
Eighth Line & 10 Side Road,43.6180085,-79.8839593
10 Side Road & Ninth Line,43.6278244,-79.8730381
Trafalgar Road & 5 Sideroad,43.5879674,-79.8677582
"Steeles Ave and Ninth Line North, Halton Hills",43.588217,-79.819548
